Neighborhooods - Analysis Boundaries,Call Type,Call Type Group,Call Number
Nob Hill,Other,Non Life-threatening,7
Twin Peaks,Alarms,Alarm,37
Chinatown,Traffic Collision,Non Life-threatening,3
Presidio,Alarms,Alarm,45
West of Twin Peaks,Citizen Assist / Service Call,Alarm,17
Potrero Hill,Traffic Collision,Non Life-threatening,9
Russian Hill,Medical Incident,Potentially Life-Threatening,152
Portola,Citizen Assist / Service Call,Alarm,7
Lakeshore,Citizen Assist / Service Call,Alarm,20
Nob Hill,Traffic Collision,Potentially Life-Threatening,2
Haight Ashbury,Other,Alarm,9
Mission,Citizen Assist / Service Call,Alarm,32
Noe Valley,Other,,3
Excelsior,Medical Incident,,7
Oceanview/Merced/Ingleside,Traffic Collision,Potentially Life-Threatening,16
Bayview Hunters Point,Electrical Hazard,Alarm,6
Portola,Medical Incident,Non Life-threatening,69
Western Addition,Electrical Hazard,Alarm,2
West of Twin Peaks,Medical Incident,Non Life-threatening,133
Sunset/Parkside,Other,Non Life-threatening,7
None,Medical Incident,Potentially Life-Threatening,3
Outer Mission,Medical Incident,Potentially Life-Threatening,210
Western Addition,Odor (Strange / Unknown),Alarm,1
Tenderloin,Fuel Spill,Alarm,2
Treasure Island,Electrical Hazard,Alarm,3
Pacific Heights,Medical Incident,Alarm,2
Mission,Medical Incident,Non Life-threatening,609
Noe Valley,Odor (Strange / Unknown),Alarm,1
Sunset/Parkside,Traffic Collision,Potentially Life-Threatening,7
Noe Valley,Electrical Hazard,Alarm,2
Lone Mountain/USF,Smoke Investigation (Outside),Alarm,2
Lakeshore,Medical Incident,Non Life-threatening,83
Tenderloin,Other,Alarm,17
Outer Mission,Outside Fire,Fire,8
Presidio Heights,Traffic Collision,Potentially Life-Threatening,8
Tenderloin,Other,Fire,11
Twin Peaks,Medical Incident,Alarm,1
Excelsior,Structure Fire,Alarm,42
Lincoln Park,Medical Incident,Non Life-threatening,1
Bernal Heights,Traffic Collision,Potentially Life-Threatening,7
Inner Richmond,Citizen Assist / Service Call,Alarm,1
Presidio Heights,Other,Non Life-threatening,1
Haight Ashbury,Smoke Investigation (Outside),Alarm,1
Castro/Upper Market,Medical Incident,Non Life-threatening,177
Outer Richmond,Medical Incident,Non Life-threatening,97
Golden Gate Park,Traffic Collision,Potentially Life-Threatening,12
McLaren Park,Alarms,Alarm,3
Bernal Heights,Other,Non Life-threatening,5
Russian Hill,Outside Fire,Fire,6
Hayes Valley,Traffic Collision,Non Life-threatening,8
