Neighborhooods - Analysis Boundaries,Call Type,Call Type Group,Call Number
Excelsior,Medical Incident,Potentially Life-Threatening,11
Sunset/Parkside,Medical Incident,Non Life-threatening,11
Western Addition,Alarms,Alarm,3
North Beach,Medical Incident,Potentially Life-Threatening,2
Potrero Hill,Alarms,Alarm,3
Bayview Hunters Point,Alarms,Alarm,4
South of Market,Alarms,Alarm,12
Bayview Hunters Point,Structure Fire,Fire,12
Nob Hill,Alarms,Alarm,9
Tenderloin,Outside Fire,Fire,5
Glen Park,Medical Incident,Potentially Life-Threatening,4
Bayview Hunters Point,Traffic Collision,Non Life-threatening,2
Western Addition,Citizen Assist / Service Call,Alarm,2
Russian Hill,Gas Leak (Natural and LP Gases),Alarm,3
Bayview Hunters Point,Citizen Assist / Service Call,Alarm,1
Oceanview/Merced/Ingleside,Traffic Collision,Non Life-threatening,2
Mission,Traffic Collision,Potentially Life-Threatening,2
Bernal Heights,Outside Fire,Fire,1
Excelsior,Medical Incident,Non Life-threatening,2
Sunset/Parkside,Medical Incident,Potentially Life-Threatening,12
North Beach,Medical Incident,Non Life-threatening,1
Mission,Alarms,Alarm,6
Castro/Upper Market,Other,Alarm,1
Financial District/South Beach,Structure Fire,Alarm,2
Chinatown,Other,Potentially Life-Threatening,8
Outer Mission,Citizen Assist / Service Call,Alarm,1
Lone Mountain/USF,Citizen Assist / Service Call,Alarm,1
Mission,Citizen Assist / Service Call,Alarm,2
Russian Hill,Medical Incident,Non Life-threatening,6
Inner Sunset,Alarms,Alarm,3
Lone Mountain/USF,Alarms,Alarm,3
Castro/Upper Market,Outside Fire,Fire,1
Potrero Hill,Medical Incident,Non Life-threatening,1
South of Market,Medical Incident,Non Life-threatening,22
Bayview Hunters Point,Medical Incident,Non Life-threatening,17
Portola,Medical Incident,Non Life-threatening,6
Twin Peaks,Medical Incident,Non Life-threatening,1
Western Addition,Medical Incident,Non Life-threatening,5
Mission,Gas Leak (Natural and LP Gases),Alarm,1
Mission,Medical Incident,Potentially Life-Threatening,24
West of Twin Peaks,Medical Incident,Non Life-threatening,6
Outer Mission,Medical Incident,Potentially Life-Threatening,1
Inner Sunset,Medical Incident,Potentially Life-Threatening,4
Noe Valley,Gas Leak (Natural and LP Gases),Alarm,3
Hayes Valley,Medical Incident,Alarm,2
Presidio Heights,Structure Fire,Alarm,10
Nob Hill,Medical Incident,Non Life-threatening,9
Sunset/Parkside,Citizen Assist / Service Call,Alarm,1
Treasure Island,Medical Incident,Non Life-threatening,7
Chinatown,Medical Incident,Non Life-threatening,3
Potrero Hill,Medical Incident,Potentially Life-Threatening,9
Portola,Medical Incident,Potentially Life-Threatening,4
Twin Peaks,Medical Incident,Potentially Life-Threatening,2
South of Market,Gas Leak (Natural and LP Gases),Alarm,5
South of Market,Medical Incident,Potentially Life-Threatening,41
Bayview Hunters Point,Medical Incident,Potentially Life-Threatening,18
Western Addition,Medical Incident,Potentially Life-Threatening,10
Oceanview/Merced/Ingleside,Medical Incident,Potentially Life-Threatening,7
Mission,Electrical Hazard,Alarm,1
Mission,Medical Incident,Non Life-threatening,26
Noe Valley,Medical Incident,Non Life-threatening,1
Sunset/Parkside,Traffic Collision,Potentially Life-Threatening,3
Outer Mission,Medical Incident,Non Life-threatening,7
Inner Sunset,Medical Incident,Non Life-threatening,4
West of Twin Peaks,Medical Incident,Potentially Life-Threatening,4
Visitacion Valley,Structure Fire,Alarm,10
Financial District/South Beach,Water Rescue,Fire,14
Nob Hill,Medical Incident,Potentially Life-Threatening,17
Lakeshore,Medical Incident,Non Life-threatening,3
Chinatown,Medical Incident,Potentially Life-Threatening,4
Treasure Island,Medical Incident,Potentially Life-Threatening,7
Russian Hill,Alarms,Alarm,3
Outer Mission,Outside Fire,Fire,1
Marina,Medical Incident,Potentially Life-Threatening,1
Financial District/South Beach,Medical Incident,Non Life-threatening,4
Japantown,Medical Incident,Potentially Life-Threatening,8
Twin Peaks,Medical Incident,Alarm,1
Castro/Upper Market,Medical Incident,Potentially Life-Threatening,2
Sunset/Parkside,Other,Alarm,1
Outer Richmond,Medical Incident,Potentially Life-Threatening,1
Hayes Valley,Medical Incident,Non Life-threatening,2
Financial District/South Beach,Medical Incident,Potentially Life-Threatening,9
Marina,Medical Incident,Non Life-threatening,5
Bernal Heights,Alarms,Alarm,3
Japantown,Medical Incident,Non Life-threatening,3
Nob Hill,Outside Fire,Fire,1
Sunset/Parkside,Structure Fire,Alarm,10
Tenderloin,Alarms,Alarm,3
Castro/Upper Market,Medical Incident,Non Life-threatening,7
Haight Ashbury,Medical Incident,Non Life-threatening,6
Tenderloin,Other,Non Life-threatening,1
Pacific Heights,Medical Incident,Potentially Life-Threatening,6
Outer Richmond,Medical Incident,Non Life-threatening,5
Hayes Valley,Medical Incident,Potentially Life-Threatening,3
Mission,Structure Fire,Alarm,10
Tenderloin,Medical Incident,Potentially Life-Threatening,75
Golden Gate Park,Medical Incident,Non Life-threatening,1
Financial District/South Beach,Alarms,Alarm,9
Pacific Heights,Citizen Assist / Service Call,Alarm,1
Bernal Heights,Medical Incident,Potentially Life-Threatening,7
Hayes Valley,Alarms,Alarm,4
Presidio Heights,Medical Incident,Potentially Life-Threatening,2
Visitacion Valley,Medical Incident,Non Life-threatening,3
Inner Sunset,Structure Fire,Alarm,3
Financial District/South Beach,Citizen Assist / Service Call,Alarm,2
Inner Richmond,Medical Incident,Potentially Life-Threatening,4
Mission Bay,Medical Incident,Non Life-threatening,3
Western Addition,Structure Fire,Alarm,2
Tenderloin,Medical Incident,Non Life-threatening,46
Excelsior,Medical Incident,Alarm,1
Golden Gate Park,Medical Incident,Potentially Life-Threatening,2
Bernal Heights,Medical Incident,Non Life-threatening,3
Sunset/Parkside,Outside Fire,Fire,1
Nob Hill,Structure Fire,Alarm,2
Visitacion Valley,Medical Incident,Potentially Life-Threatening,5
Castro/Upper Market,Alarms,Alarm,3
Inner Richmond,Electrical Hazard,Alarm,1
Inner Richmond,Medical Incident,Non Life-threatening,1
Mission Bay,Medical Incident,Potentially Life-Threatening,9
